instance,cost,time,preprocessing_time
adam,12,89.55999999999999,86.32
alex,13,11.97,7.61
alice,11,409.78999999999996,351.88
andy,6,140.69,134.25
ben_alan,,,
chris,7,1.46,1.41
cynthia_michael,,,
david,7,385.52,348.57
freya,5,69.2,67.52
helen,11,48.26,46.79
jack_jill,,,
jessica_amelia,,,
julian,11,49.7,34.45
kate,10,81.45,75.78
kevin,11,19.64,16.81
lauren,9,48.88999999999999,47.91
louise,7,62.230000000000004,60.88
lucy,8,3.2600000000000002,3.04
lydia,7,10.75,10.71
mary,10,4.09,3.93
paul,9,134.39,129.01
priscilla,9,44.339999999999996,43.54
rebecca,2,5.4799999999999995,5.22
rob_james_matthew,,,
sally,13,61.75,57.78
sarah,8,70.51,68.72
tanya,5,44.830000000000005,44.13
william,13,4.26,3.36
willow,14,100.42,33.81
zoe_richard,,,
a_b,,,
claire,10,39.550000000000004,38.06
hard_harder_hardest,,,
kate_garry_craig,,,
one_two_three,,,
unnamed,,,
unused_1,6,72.03999999999999,69.72
unused_2,10,91.02000000000001,87.59
zoe_2_richard_2,,,
