instance,cost,time,preprocessing_time
adam,12,94.64,88.72
alex,13,46.739999999999995,7.94
alice,19,913.67,358.99
andy,6,147.31,136.23
ben_alan,,,
chris,7,1.67,1.52
cynthia_michael,,,
david,7,461.45000000000005,366.79
freya,13,75.05000000000001,69.65
helen,11,53.349999999999994,47.83
jack_jill,,,
jessica_amelia,,,
julian,13,326.8,35.61
kate,10,93.35000000000001,79.62
kevin,11,32.7,16.77
lauren,11,51.23,49.62
louise,13,64.64,61.77
lucy,8,4.029999999999999,3.32
lydia,7,10.770000000000001,10.71
mary,10,4.51,4.27
paul,26,147.82,133.35
priscilla,15,46.5,44.07
rebecca,6,5.74,5.45
rob_james_matthew,,,
sally,13,67.37,58.79
sarah,8,71.55,68.97
tanya,5,43.96,43.09
william,15,7.210000000000001,3.18
willow,14,457.85,32.31
zoe_richard,,,
a_b,,,
claire,10,41.38,39.71
hard_harder_hardest,,,
kate_garry_craig,,,
one_two_three,,,
unnamed,,,
unused_1,6,73.23,70.7
unused_2,10,94.28,88.55
zoe_2_richard_2,,,
