instance,cost,time,optimal,preprocessing_time
adam,12,514.67,True,87.53
alex,13,13.93,True,7.58
alice,,,False,371.4
andy,6,169.95,True,136.0
ben_alan,,,False,
chris,7,1.56,True,1.43
cynthia_michael,,,False,
david,7,556.1899999999999,False,377.28
freya,5,79.36,True,69.94
helen,11,68.03,True,46.99
jack_jill,,,False,
jessica_amelia,,,False,
julian,11,96.47999999999999,False,35.23
kate,10,1607.19,False,78.56
kevin,11,18.84,True,17.15
lauren,9,109.09,True,52.87
louise,7,74.36,True,66.36
lucy,8,4.09,True,3.43
lydia,7,11.78,True,11.66
mary,10,4.75,True,4.13
paul,9,195.85999999999999,True,147.39
priscilla,9,51.690000000000005,True,48.31
rebecca,2,6.76,True,5.64
rob_james_matthew,,,False,
sally,13,169.79,True,61.46
sarah,8,87.93,True,74.7
tanya,5,51.4,True,48.11
william,13,6.87,True,3.41
willow,14,275.35,False,33.59
zoe_richard,,,False,
a_b,,,False,
claire,10,50.6,True,40.22
hard_harder_hardest,,,False,
kate_garry_craig,,,False,
one_two_three,,,False,
unnamed,,,False,
unused_1,6,80.15,True,68.48
unused_2,10,98.33999999999999,True,84.85
zoe_2_richard_2,,,False,
