,sat-l,,sat-r,,sat-r+,,smt-l,,smt-r,,smt-r+,,
,Time,Timesteps,Time,Timesteps,Time,Timesteps,Time,Timesteps,Time,Timesteps,Time,Timesteps,
adam,-,-,25.06,12,29.16,12,-,-,15.95,12,12.66,12,
alex,-,-,50.88,13,47.25,13,-,-,26.84,13,5.59,13,
alice,-,-,1665.86,19,1287.72,19,-,-,488.74,19,326.29,19,
andy,247.64,19,6.0,6,5.83,6,59.62,19,1.11,6,1.42,6,
ben_alan,-,-,-,-,-,-,-,-,-,-,-,-,
chris,399.69,31,1.22,7,1.51,7,50.38,31,1.11,7,1.23,7,
cynthia_michael,-,-,-,-,-,-,-,-,-,-,-,-,
david,3440.32,23,48.58,7,47.03,7,106.18,23,2.25,7,5.43,7,
freya,816.34,38,49.82,13,68.58,13,1057.74,38,10.43,13,7.18,13,
helen,-,-,40.52,11,32.13,11,3354.4,42,11.45,11,13.72,11,
jack_jill,-,-,45.55,16,57.3,16,-,-,783.71,16,663.3,16,
jessica_amelia,-,-,154.8,16,167.3,16,-,-,-,-,2007.94,16,
julian,-,-,222.63,13,154.78,13,-,-,14.21,13,13.78,13,
kate,-,-,56.36,10,57.35,10,1061.32,36,5.46,10,2.73,10,
kevin,-,-,64.82,11,62.53,11,317.33,38,3.35,11,3.61,11,
lauren,680.66,42,10.63,11,13.22,11,959.95,42,7.0,11,5.33,11,
louise,419.68,33,52.31,13,56.33,13,746.73,33,50.2,13,35.77,13,
lucy,89.59,19,5.62,8,4.39,8,6.15,19,1.37,8,1.52,8,
lydia,151.8,27,2.93,7,3.14,7,57.41,27,1.31,7,1.39,7,
mary,472.78,41,4.76,10,4.11,10,537.28,41,3.17,10,1.88,10,
paul,-,-,729.12,26,626.43,26,-,-,215.84,26,260.61,26,
priscilla,-,-,145.5,15,92.8,15,-,-,82.46,15,52.02,15,
rebecca,73.82,24,1.63,6,1.62,6,42.73,24,0.84,6,1.04,6,
rob_james_matthew,-,-,-,-,-,-,-,-,-,-,-,-,
sally,-,-,45.58,13,48.34,13,-,-,9.0,13,13.7,13,
sarah,247.55,26,4.04,8,5.18,8,50.22,26,1.52,8,1.81,8,
tanya,47.99,17,1.21,5,1.04,5,27.7,17,0.73,5,0.93,5,
william,3388.48,49,73.82,15,67.94,15,1157.47,49,9.08,15,3.41,15,
willow,-,-,214.56,14,149.21,14,-,-,24.31,14,22.19,14,
zoe_richard,-,-,600.84,17,414.35,17,-,-,-,-,-,-,
a_b,-,-,145.73,18,167.1,18,-,-,-,-,-,-,
claire,231.12,33,8.0,10,12.34,10,361.15,33,2.61,10,2.28,10,
hard_harder_hardest,-,-,-,-,-,-,-,-,-,-,-,-,
kate_garry_craig,-,-,741.89,15,633.36,15,-,-,-,-,-,-,
one_two_three,-,-,-,-,-,-,-,-,-,-,-,-,
unnamed,-,-,505.18,16,342.78,16,-,-,-,-,-,-,
unused_1,-,-,2.03,6,2.07,6,-,-,1.18,6,1.34,6,
unused_2,-,-,18.08,10,18.02,10,-,-,5.85,10,5.53,10,
zoe_2_richard_2,-,-,3479.94,26,3151.8,26,-,-,-,-,-,-,
